sku,name,description,price,images,terms,section
312363708-800-2,TEXTURED POCKET JACKET,Jacket with lightly padded interior. Lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_1_1_1.jpg?ts=1705480885441', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_1_1.jpg?ts=1705480886474', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_2_1.jpg?ts=1705480887078', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_3_1.jpg?ts=1705480884793', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_4_1.jpg?ts=1705480887933', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_2_5_1.jpg?ts=1705480886622', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_1_1.jpg?ts=1705322983504', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_2_1.jpg?ts=1705322983534', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_3_1.jpg?ts=1705322985363', 'https://static.zara.net/photos///2024/V/0/2/p/3918/500/800/2/w/1920/3918500800_6_4_1.jpg?ts=1705322985275']",jackets,MAN
312320664-251-2,FAUX SUEDE PATCH JACKET,Varsity jacket made of faux suede fabric. Lapel collar and long sleeves. Double welt pockets at hip and interior pocket. Front contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_1_1_1.jpg?ts=1707472936137', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_1_1.jpg?ts=1707472936266', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_2_1.jpg?ts=1707472936760', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_3_1.jpg?ts=1707472936520', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_4_1.jpg?ts=1707472937727', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_5_1.jpg?ts=1707472937354', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_2_6_1.jpg?ts=1707472937181', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_6_1_1.jpg?ts=1707404675538', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_6_2_1.jpg?ts=1707404675331', 'https://static.zara.net/photos///2024/V/0/2/p/8281/357/251/2/w/1920/8281357251_6_3_1.jpg?ts=1707404675671']",jackets,MAN
311302445-445-97,PUFFER JACKET WITH POUCH POCKET,Jacket made of technical fabric with padded interior. High collar with front zip closure and long sleeves with elastic strap cuffs. Front and back contrast embroidered text. Zip pockets at hip. Adjustable elastic strap at hem with side zippers and strap.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_1_1.jpg?ts=1707305301107', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_4_1.jpg?ts=1707305301759', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_1_1_1.jpg?ts=1707305300707', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_2_1.jpg?ts=1707305301850', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_2_3_1.jpg?ts=1707305300125', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_1_1.jpg?ts=1707295483283', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_2_1.jpg?ts=1707295483194', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_3_1.jpg?ts=1707295486272', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_4_1.jpg?ts=1707295486863', 'https://static.zara.net/photos///2024/V/0/2/p/0155/401/445/2/w/1920/0155401445_6_5_1.jpg?ts=1707295486070']",jackets,MAN
323216370-422-97,BOMBER JACKET,Boxy bomber jacket. Rib elastic collar and long sleeves. Welt pockets at hip. Elasticized trim. Front zip closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_1_1_1.jpg?ts=1707316087598', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_1_1.jpg?ts=1707316088617', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_2_1.jpg?ts=1707316088658', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_3_1.jpg?ts=1707316087560', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_4_1.jpg?ts=1707316088668', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_5_1.jpg?ts=1707316088779', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_2_6_1.jpg?ts=1707316088714', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_6_1_1.jpg?ts=1707295790753', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_6_2_1.jpg?ts=1707295790832', 'https://static.zara.net/photos///2024/V/0/2/p/5039/440/422/2/w/1920/5039440422_6_3_1.jpg?ts=1707295794594']",jackets,MAN
317107014-707-2,TEXTURED WEAVE OVERSHIRT,Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Side hidden in-seam pockets. Front button closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_1_1_1.jpg?ts=1704800281042', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_1_1.jpg?ts=1704800283208', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_2_1.jpg?ts=1704800283276', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_3_1.jpg?ts=1704800280937', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_4_1.jpg?ts=1704800283479', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_2_5_1.jpg?ts=1704800283218', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_6_1_1.jpg?ts=1704725643925', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_6_2_1.jpg?ts=1704725643849', 'https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_6_3_1.jpg?ts=1704725644756']",jackets,MAN
328594167-800-46,STRAIGHT SUIT JACKET,Straight fit blazer. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Central back vent at hem. Front button closure.,129.0,"['https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_1_1_1.jpg?ts=1706277560254', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_2_1_1.jpg?ts=1706277559732', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_2_2_1.jpg?ts=1706277559746', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_2_3_1.jpg?ts=1706277559972', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_2_4_1.jpg?ts=1706277560551', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_2_5_1.jpg?ts=1706277560007', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_6_1_1.jpg?ts=1706093233516', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_6_2_1.jpg?ts=1706093233722', 'https://static.zara.net/photos///2024/V/0/2/p/4143/291/800/2/w/1920/4143291800_6_3_1.jpg?ts=1706093234491']",jackets,MAN
311309598-711-2,HOODED QUILTED JACKET,Puffer jacket with high collar and adjustable hood. Long sleeves with interior rib cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,129.0,"['https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_2_1_1.jpg?ts=1705480886811', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_2_5_1.jpg?ts=1705480889361', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_1_1_1.jpg?ts=1705480883938', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_2_2_1.jpg?ts=1705480885851', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_2_3_1.jpg?ts=1705480883879', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_2_4_1.jpg?ts=1705480885121', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_2_6_1.jpg?ts=1705480885761', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_6_1_1.jpg?ts=1705322983443', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_6_2_1.jpg?ts=1705322983255', 'https://static.zara.net/photos///2024/V/0/2/p/0029/501/711/2/w/1920/0029501711_6_3_1.jpg?ts=1705322984896']",jackets,MAN
267133943-711-2,LIGHTWEIGHT PUFFER JACKET,Padded jacket made of technical fabric. High collar and long sleeves. Welt pockets at hip. Elasticized trim. Front zip closure.,19.99,"['https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_1_1_1.jpg?ts=1687331082060', 'https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_2_1_1.jpg?ts=1687331082395', 'https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_2_2_1.jpg?ts=1687331082230', 'https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_2_3_1.jpg?ts=1687331081886', 'https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_2_4_1.jpg?ts=1687331082553', 'https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_6_1_1.jpg?ts=1686910791151', 'https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_6_2_1.jpg?ts=1686910791096', 'https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/1920/4302520711_6_3_1.jpg?ts=1686910792604']",jackets,MAN
318265017-401-2,COTTON BLEND BOMBER JACKET,Jacket made of cotton blend fabric. High collar and long sleeves. Welt pockets at hip. Rib trim. Cropped length. Front zip closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_1_1_1.jpg?ts=1707316087672', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_2_1_1.jpg?ts=1707316088880', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_2_2_1.jpg?ts=1707316088911', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_2_3_1.jpg?ts=1707316087659', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_2_4_1.jpg?ts=1707316088887', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_2_5_1.jpg?ts=1707316089022', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_6_1_1.jpg?ts=1707295790406', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_6_2_1.jpg?ts=1707295798506', 'https://static.zara.net/photos///2024/V/0/2/p/6518/350/401/2/w/1920/6518350401_6_3_1.jpg?ts=1707295794006']",jackets,MAN
322410604-401-2,POCKET JACKET,Jacket made of dense technical fabric. Lapel collar and long sleeves with buttoned cuffs. Multi-functional front pockets. Front zip hidden by a snap button flap.,129.0,"['https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_1_1_1.jpg?ts=1707904527758', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_2_1_1.jpg?ts=1707904528546', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_2_2_1.jpg?ts=1707904528767', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_2_3_1.jpg?ts=1707904526567', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_2_4_1.jpg?ts=1707904528997', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_2_5_1.jpg?ts=1707904529181', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_2_6_1.jpg?ts=1707904528652', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_6_1_1.jpg?ts=1707904477708', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_6_2_1.jpg?ts=1707904478020', 'https://static.zara.net/photos///2024/V/0/2/p/6318/507/401/2/w/1920/6318507401_6_3_1.jpg?ts=1707904478589']",jackets,MAN
324149982-982-2,OVERSIZED BOMBER JACKET,Oversized jacket made of technical fabric. High collar and long sleeves with pocket detail. Welt pockets at hip and interior pocket. Rib trim. Adjustable asymmetric hem with side zippers. Front zip closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_1_1_1.jpg?ts=1707903396927', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_2_1_1.jpg?ts=1707912533426', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_2_2_1.jpg?ts=1707903398545', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_2_3_1.jpg?ts=1707903396613', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_2_4_1.jpg?ts=1707903398577', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_6_1_1.jpg?ts=1707742466115', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_6_2_1.jpg?ts=1707742466052', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_6_3_1.jpg?ts=1707742467815', 'https://static.zara.net/photos///2024/V/0/2/p/8281/311/982/2/w/1920/8281311982_6_4_1.jpg?ts=1707742467074']",jackets,MAN
320531693-707-2,EMBROIDERED PATCH JACKET,Roomy jacket made of lightweight fabric. Lapel collar and long sleeves with elastic cuffs. Contrasting patch appliqués with embroidery at front and back. Front pouch pocket. Elastic hem. Front zip closure.,79.9,"['https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_1_1_1.jpg?ts=1707903399301', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_2_1_1.jpg?ts=1707903399741', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_2_2_1.jpg?ts=1707903399342', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_2_3_1.jpg?ts=1707903399324', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_2_4_1.jpg?ts=1707903400902', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_2_5_1.jpg?ts=1707903401068', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_6_1_1.jpg?ts=1707742469782', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_6_2_1.jpg?ts=1707742470198', 'https://static.zara.net/photos///2024/V/0/2/p/5320/345/707/2/w/1920/5320345707_6_3_1.jpg?ts=1707742470700']",jackets,MAN
328279967-409-3,ACID WASH DENIM JACKET,Jacket made of cotton denim. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at chest and side pockets at hip. Washed effect. Front zip closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_1_1_1.jpg?ts=1708013700414', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_2_1_1.jpg?ts=1708013701629', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_2_2_1.jpg?ts=1708013701143', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_2_3_1.jpg?ts=1708013700903', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_2_4_1.jpg?ts=1708013701441', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_2_5_1.jpg?ts=1708013701708', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_6_1_1.jpg?ts=1708008844649', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_6_2_1.jpg?ts=1708008844600', 'https://static.zara.net/photos///2024/V/0/2/p/6688/401/409/2/w/1920/6688401409_6_3_1.jpg?ts=1708008845959']",jackets,MAN
322972491-800-2,TEXTURED DENIM JACKET LIMITED EDITION,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed and uneven textured effect. Front button closure.,89.9,"['https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_1_1_1.jpg?ts=1706806909761', 'https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_2_1_1.jpg?ts=1706806910420', 'https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_2_2_1.jpg?ts=1706806911744', 'https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_2_3_1.jpg?ts=1706806911239', 'https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_2_4_1.jpg?ts=1706806911259', 'https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_6_1_1.jpg?ts=1707212115078', 'https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_6_2_1.jpg?ts=1707212115089', 'https://static.zara.net/photos///2024/V/0/2/p/1538/430/800/2/w/1920/1538430800_6_3_1.jpg?ts=1707212115116']",jackets,MAN
315936781-526-2,CONTRAST COLLAR PUFFER JACKET,"Jacket made of technical effect fabric with padded interior. Faux shearling lapel collar, long sleeves, and elastic cuffs. Welt pockets at hip. Rib trim. Front zip closure.",109.0,"['https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_1_1_1.jpg?ts=1704212117418', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_2_1_1.jpg?ts=1704212442945', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_2_2_1.jpg?ts=1704212117514', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_2_3_1.jpg?ts=1704212117458', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_2_4_1.jpg?ts=1704212117629', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_2_5_1.jpg?ts=1704212117267', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_2_6_1.jpg?ts=1704212117608', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_6_1_1.jpg?ts=1703838848736', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_6_2_1.jpg?ts=1703838848375', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_6_3_1.jpg?ts=1703838850510', 'https://static.zara.net/photos///2024/V/0/2/p/3046/501/526/2/w/1920/3046501526_6_4_1.jpg?ts=1703838850482']",jackets,MAN
321501682-800-2,WOOL BLEND JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,109.0,"['https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_1_1_1.jpg?ts=1705058572613', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_2_1_1.jpg?ts=1705058572388', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_2_2_1.jpg?ts=1705058572380', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_2_3_1.jpg?ts=1705058572415', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_2_4_1.jpg?ts=1705058572415', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_2_5_1.jpg?ts=1705058572612', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_6_1_1.jpg?ts=1704970177443', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_6_2_1.jpg?ts=1704970177519', 'https://static.zara.net/photos///2024/V/0/2/p/9621/448/800/2/w/1920/9621448800_6_3_1.jpg?ts=1704970178966']",jackets,MAN
328616906-712-2,COTTON - LINEN BLEND JACKET,Jacket made of cotton and linen blend fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pocket at chest and side pockets at hip. Elastic hem. Front zip closure.,109.0,"['https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_1_1_1.jpg?ts=1705054553675', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_2_1_1.jpg?ts=1705054554662', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_2_2_1.jpg?ts=1705054558767', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_2_3_1.jpg?ts=1705054553840', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_2_4_1.jpg?ts=1705054560926', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_2_5_1.jpg?ts=1705054554485', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_6_1_1.jpg?ts=1704970175698', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_6_2_1.jpg?ts=1704970175442', 'https://static.zara.net/photos///2024/V/0/2/p/0706/103/712/2/w/1920/0706103712_6_3_1.jpg?ts=1704970178339']",jackets,MAN
311292541-802-2,FLEECE BOMBER JACKET,Jacket made of faux shearling fabric. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,109.0,"['https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_1_1_1.jpg?ts=1705667398898', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_2_1_1.jpg?ts=1705667401267', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_2_2_1.jpg?ts=1705667400890', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_2_3_1.jpg?ts=1705667400121', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_2_4_1.jpg?ts=1705667401384', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_2_5_1.jpg?ts=1705667401037', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_6_1_1.jpg?ts=1705566328558', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_6_2_1.jpg?ts=1705566328511', 'https://static.zara.net/photos///2024/V/0/2/p/8281/405/802/2/w/1920/8281405802_6_3_1.jpg?ts=1705566329080']",jackets,MAN
329804963-716-3,LEATHER JACKET,"Cropped jacket made of leather treated to give it a wrinkle look.

Lapel collar and long sleeves. Welt pockets at hip and interior pocket. Front zip closure.

Origins special collection.",439.0,"['https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_1_1_1.jpg?ts=1707475388588', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_2_1_1.jpg?ts=1707475388888', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_2_2_1.jpg?ts=1707475388618', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_2_3_1.jpg?ts=1707475388348', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_2_4_1.jpg?ts=1707475389147', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_2_5_1.jpg?ts=1707475389249', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_6_1_1.jpg?ts=1707396810225', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_6_2_1.jpg?ts=1707396809906', 'https://static.zara.net/photos///2024/V/0/2/p/2521/105/716/2/w/1920/2521105716_6_3_1.jpg?ts=1707396813601']",jackets,MAN
319205114-807-2,ZIPPERED JACKET,Lapel collar jacket with long sleeves. Front pouch pockets. Front zip closure.,59.9,"['https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_1_1_1.jpg?ts=1706025462627', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_2_1_1.jpg?ts=1706025464110', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_2_2_1.jpg?ts=1706025465639', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_2_3_1.jpg?ts=1706025465446', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_2_4_1.jpg?ts=1706025465746', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_2_5_1.jpg?ts=1706025465837', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_6_1_1.jpg?ts=1706009167771', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_6_2_1.jpg?ts=1706009167914', 'https://static.zara.net/photos///2024/V/0/2/p/4087/418/807/2/w/1920/4087418807_6_3_1.jpg?ts=1706009168643']",jackets,MAN
