sku,name,description,price,terms,section,image_downloads
324908108-800-2,NEOPRENE EFFECT BOMBER SWEATSHIRT,Neoprene effect bomber sweatshirt with hood. Long sleeves with elastic cuffs. Side pockets. Front text detail. Front zip closure.,59.9,sweatshirts,WOMAN,"['0fe80337-912a-4409-9406-524097c4185e', '164b047a-d3bc-4d65-995f-e237932093fc', '95c54e7d-7548-4387-ba8d-564752489db9', '61270e1e-ae6e-40be-ba09-2e79614b6a55', '98de4880-f542-4674-8778-66744fc22e9f', '88c22721-d9e2-4226-96bd-5c081114cd2e', '63bab234-04f7-4e9a-8123-161f76cc319c', '8b1e5a2b-d878-4d43-804b-6d5af9bdd48f']"
278102507-727-2,BASIC CROP SWEATSHIRT,Cotton sweatshirt. Round neck and long sleeves. Rib trim.,5.99,sweatshirts,WOMAN,"['dff4e4ad-a7ed-4b39-9ca5-18c996cb9ecd', 'f54cd3f2-a8e1-4f09-848b-bcd20ff6fb28', '81f99a3b-e5db-40cf-ac3c-91e8a09e8e15', 'cd22dffb-a9bd-4328-ade6-3ba4c1fada7a', '3e201f33-a4fa-4e92-ad07-4dc053ec1086', '3f4396c9-0736-4a62-8dd2-53d450c7714c']"
326661993-712-2,NEOPRENE EFFECT ZIP SWEATSHIRT,Sweatshirt made of neoprene effect fabric with high collar and long sleeves. Front polo style closure with zipper.,49.9,sweatshirts,WOMAN,"['181409ad-20ab-4cde-9e4a-e2060f1fa54c', 'c8329999-fde0-4dfa-8382-76214ec3457b', '0255f3ec-1986-4490-949f-84834e201c55', '374ae048-83d9-4721-ba09-2ec7043a81b1', '3b44b213-1e38-4bc8-a370-00067de74e31', '47f011f2-05aa-41d0-a012-dca1f1a2c9ca', '00b652a1-3781-4769-bef6-e7941e0c040e', '785282b9-0e71-476d-86fc-b1714a04f4c9']"
328605263-803-2,PLUSH SWEATSHIRT WITH TEXT,Cotton sweatshirt. Round neck and long sleeves. Rib trim. Front text detail.,45.9,sweatshirts,WOMAN,"['92ffd83e-cb78-4436-926b-8d14e1114cbb', '48499c0a-3ad2-4406-a8af-1f2b23f1fcf9', '23bdfbe3-abc0-4e32-b3f1-18c59133aa19', 'f52a6a89-b40e-4e94-bb7c-8215cd3d93de', '793a5d42-8e43-4e12-aad6-a06776671b83', '35fb099a-6381-4ff3-8e87-c78a2a246c01', 'e95f9137-3eec-49b7-ad49-598420b31384', 'fc2e96fb-ec08-4107-8db9-913114e7604f', 'bad51117-4cec-4bba-936c-7ca9a0e5769c', 'fa56fd9b-87e2-4e1e-810f-d9da6908120f', '9009600f-df5b-4f50-a3a6-c49342067ee1', '3d2f0417-77c5-499d-a32a-da0db8f579ec']"
328382596-081-2,FELT TEXTURE COAT,Open front coat with lapel collar and long sleeves. Side pockets.,49.9,coats,WOMAN,"['c3df5e45-bc5b-4fcb-bdfa-a7b63c140682', '53f270d9-6c72-4dca-a876-fe06de662f0d', '038895fa-da8b-446f-a700-98d0ceca32e9', 'cb242fd3-021c-4534-b7e0-cb631e2d1df7', '214522df-924a-4c21-bd6a-c63e3e1240ce', '7ba3d1d2-c4bc-42f1-b390-ca0287c2ed30', '0a529437-cf9c-447d-86e1-d0ad7b41ff12']"
315529532-450-1,ZW COLLECTION BELTED GABARDINE TRENCH,"ZARA WOMAN COLLECTION

Gabardine trench coat with V-neck lapel collar. Long sleeves with belted cuffs and epaulettes. Flap pockets at front. Self belt with buckle. Back vent. Front double breasted button closure.

The gabardine trench coat remains a timeless reference and this design with classic lines, wide lapels, slightly tailored cut, and buckle belted cuffs, is a winning bet for a mid-season garment.",139.0,coats,WOMAN,"['b98ed3e2-663d-44f0-8844-fae6f3d3e6cf', '7b3fed9d-7e26-40d5-b938-c724818ded23', 'cdd76ae0-5106-4fed-bf17-52ff45699c2a', '8e13d366-ca2a-4988-be30-d196b6c1ddc7', '812d227b-51aa-4caa-8495-19edec6668dc', 'd6f994e5-06f3-4dc5-9d1f-68771156e998', '988e2b4b-1d50-4e42-a5eb-3463220b685e', '265c963c-b6de-4f00-aa81-0b1afc32fd79', 'e7002140-56d0-435f-a13b-1256bbba269d', '826f55f2-214e-48d4-ac9f-0db67d6ad9e8', 'b5225863-55d0-42db-a358-4868ba9f7461', '8b27cf33-3a9c-4e30-a609-ab7ca3b08448', '2610ff32-3911-427d-8751-7e0ee6dd72ad']"
316599076-800-1,HOODED COMBINATION COAT,Coat with adjustable drawstring hood in contrasting fabric. Lapel collar and long sleeves with shoulder pads. Front welt pockets. Front zip and button closure.,109.0,coats,WOMAN,"['ab3e11b2-9fca-4e57-824d-7d6eb6ca03fe', '0c664c1a-0871-4edd-9b07-bb85c25f291b', '2d6d5c2e-7bb6-485c-b0eb-d4c796c694d6', 'd2691492-a315-43ca-844f-3a6afa0c7cd9', '70ad58e6-c501-4043-80da-30b04b7a4083', '180e10fa-b843-42f2-a30d-be8dea6e2c8b', '4afb0cad-75c5-47c9-8c81-a1cac2e18787', 'a537bbe7-c633-4580-ab02-e6fe72a3c828']"
322414746-800-1,LONG BELTED WOOL BLEND COAT,Wool blend coat. Lapel collar and long sleeves with button cuffs. Closure with tonal belt.,169.0,coats,WOMAN,"['e653d18b-30d1-4fa2-af39-490329853a50', '43371011-5f64-40b1-937c-ba8e235bdbeb', 'e85666bb-44b5-4d70-8cf1-9aeb534c0dac', '42a91375-6edc-481d-b5d9-d31311e57b4a', '966a577b-b433-46bf-a23a-b207efb95970', '57a27d9a-06bf-4c23-a4cb-3b546fb88248', 'b717302d-e3a8-4d2b-9d73-6e9cfea9fe7a', 'bdebbbd6-31fb-47c3-8fee-80f77038b69f', 'e448b193-84d7-474a-86a3-bbd642a45d10', 'a61d956e-59e6-4946-9a65-b9a02540685e']"
293652510-704-8,SOFT OVERSIZED COAT,Roomy lapel collar coat with long sleeves. Front welt pockets. Front double breasted button closure.,12.99,coats,WOMAN,"['654bc3e7-51ed-45fe-b969-cc5992b7f547', '51f32c52-0a83-45ca-afb6-26f5e121c876', 'c5186b2b-5e35-4f74-a7b3-96b0a22885ed', 'd0bfab64-c2e8-4751-bc3c-d02663666023', '72883983-c2db-413c-aaf5-2e38bcd02131', '5a00f957-4a87-4b51-9714-7455bd8dacc3', '4a7f5860-1281-4bcf-898b-d5476dd68a3d', 'cec85e86-1b74-409d-8033-40802b362b92', '1cbb0b08-0218-412a-bcc3-4e2117f2923d', 'c0de68ee-e4bd-4170-b475-d21aba965b1d', 'ad44b510-ec5d-4d42-9d65-fdaeb40051cf', '6e31f182-e9fa-442b-967d-b2b13dfdec42']"
327673962-802-1,SOFT HOODED COAT,Hooded coat with long sleeves. Front welt pockets. Self belt closure.,69.9,coats,WOMAN,"['102005c8-a168-4427-a42c-b3eedb2f19d6', '484c9cda-4c0f-4d88-9a63-c41b48b2f3ae', 'fab0c2a7-8801-4e10-a1da-90e0617ed3c9', 'b5e4e343-453d-43bd-809f-997448b65ed1', '5fce1190-5198-438b-b004-95d83e200cc6', 'f709dbc0-a0b5-4706-81ca-e47a591a9eb9', '372a3acc-865a-48ef-bd3c-600caef1ffe6', '085ad432-fe84-4be0-bed7-f4a627a5ae30', 'f114c0c5-dfad-4f1a-b52b-46676bd91d85', 'c8711c15-98b9-4cc3-823d-8ba4ccaed475']"
